n,car,trace,detection_id,cell,progress,action,reason,fault_id,tx_hash,status,gas_used,block,latency_s
25,0,PVS 1,pothole_PVS1_frame_000043_0,6g5dm4ng,0.006,refused,OwnerAlreadyContributed(),30,,0,0,0,0
26,0,PVS 1,pothole_PVS1_frame_000044_0,6g5dm4ng,0.0062,refused,OwnerAlreadyContributed(),30,,0,0,0,0
27,0,PVS 1,pothole_PVS1_frame_000048_0,6g5dm4ng,0.0069,refused,OwnerAlreadyContributed(),30,,0,0,0,0
28,0,PVS 1,pothole_PVS1_frame_000052_0,6g5dm4ng,0.0077,refused,OwnerAlreadyContributed(),30,,0,0,0,0
29,0,PVS 1,pothole_PVS1_frame_000055_0,6g5dm4ng,0.0083,refused,OwnerAlreadyContributed(),30,,0,0,0,0
30,2,PVS 7,pothole_PVS7_frame_000230_0,6g5dm4nu,0.0095,refused,OwnerAlreadyContributed(),30,,0,0,0,0
31,0,PVS 1,pothole_PVS1_frame_000067_0,6g5dm4ng,0.0105,refused,OwnerAlreadyContributed(),30,,0,0,0,0
32,1,PVS 4,pothole_PVS4_frame_000740_0,6g5dkvvc,0.0108,refused,OwnerAlreadyContributed(),34,,0,0,0,0
33,1,PVS 4,pothole_PVS4_frame_000741_0,6g5dkvvc,0.011,refused,OwnerAlreadyContributed(),34,,0,0,0,0
34,0,PVS 1,pothole_PVS1_frame_000077_0,6g5dm4ng,0.0124,refused,OwnerAlreadyContributed(),30,,0,0,0,0
35,2,PVS 7,pothole_PVS7_frame_000245_0,6g5dm4nt,0.0127,refused,OwnerAlreadyContributed(),30,,0,0,0,0
36,0,PVS 1,pothole_PVS1_frame_000080_0,6g5dm4ng,0.013,refused,OwnerAlreadyContributed(),30,,0,0,0,0
37,2,PVS 7,pothole_PVS7_frame_000254_0,6g5dm4nt,0.0146,refused,OwnerAlreadyContributed(),30,,0,0,0,0
38,2,PVS 7,pothole_PVS7_frame_000259_0,6g5dm4nt,0.0156,refused,OwnerAlreadyContributed(),30,,0,0,0,0
39,2,PVS 7,pothole_PVS7_frame_000272_0,6g5dm4nw,0.0184,refused,OwnerAlreadyContributed(),30,,0,0,0,0
40,2,PVS 7,pothole_PVS7_frame_000273_0,6g5dm4nw,0.0186,refused,OwnerAlreadyContributed(),30,,0,0,0,0
41,2,PVS 7,pothole_PVS7_frame_000317_0,6g5dm4mu,0.0279,refused,OwnerAlreadyContributed(),36,,0,0,0,0
42,0,PVS 1,pothole_PVS1_frame_000162_0,6g5dm4ng,0.0283,refused,OwnerAlreadyContributed(),30,,0,0,0,0
43,2,PVS 7,pothole_PVS7_frame_000320_0,6g5dm4mu,0.0285,refused,OwnerAlreadyContributed(),36,,0,0,0,0
44,1,PVS 4,pothole_PVS4_frame_000835_0,6g5dkytk,0.0301,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
45,2,PVS 7,pothole_PVS7_frame_000329_0,6g5dm4mw,0.0304,refused,OwnerAlreadyContributed(),36,,0,0,0,0
46,0,PVS 1,pothole_PVS1_frame_000179_0,6g5dm4ng,0.0315,refused,OwnerAlreadyContributed(),30,,0,0,0,0
47,0,PVS 1,pothole_PVS1_frame_000182_0,6g5dm4ng,0.0321,refused,OwnerAlreadyContributed(),30,,0,0,0,0
48,0,PVS 1,pothole_PVS1_frame_000186_0,6g5dm4ng,0.0328,refused,OwnerAlreadyContributed(),30,,0,0,0,0
49,0,PVS 1,pothole_PVS1_frame_000211_0,6g5dm4ng,0.0375,refused,OwnerAlreadyContributed(),30,,0,0,0,0
50,0,PVS 1,pothole_PVS1_frame_000212_0,6g5dm4ng,0.0377,refused,OwnerAlreadyContributed(),30,,0,0,0,0
51,2,PVS 7,pothole_PVS7_frame_000380_0,6g5dm4u2,0.0412,refused,OwnerAlreadyContributed(),37,,0,0,0,0
52,0,PVS 1,pothole_PVS1_frame_000243_0,6g5dm4ng,0.0435,refused,OwnerAlreadyContributed(),30,,0,0,0,0
53,1,PVS 4,pothole_PVS4_frame_000904_0,6g5dkz5v,0.0441,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
54,1,PVS 4,pothole_PVS4_frame_000949_0,6g5dkz6k,0.0533,refused,OwnerAlreadyContributed(),39,,0,0,0,0
55,1,PVS 4,pothole_PVS4_frame_000955_0,6g5dkz6h,0.0545,refused,OwnerAlreadyContributed(),39,,0,0,0,0
56,2,PVS 7,pothole_PVS7_frame_000450_0,6g5dm54j,0.056,report,,46,779188f33c7572341918d7c322ede92224fd26345dd76c912512a4696b490203,1,251628,16553,0.836
57,1,PVS 4,pothole_PVS4_frame_000965_0,6g5dkz3u,0.0565,refused,"InsufficientFree(free=0, needed=5)",45,,0,0,0,0
58,2,PVS 7,pothole_PVS7_frame_000458_0,6g5dm51z,0.0577,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
59,1,PVS 4,pothole_PVS4_frame_000974_0,6g5dkz3s,0.0583,refused,"InsufficientFree(free=0, needed=5)",45,,0,0,0,0
60,1,PVS 4,pothole_PVS4_frame_000978_0,6g5dkz3k,0.0591,refused,"InsufficientFree(free=0, needed=5)",45,,0,0,0,0
61,2,PVS 7,pothole_PVS7_frame_000466_0,6g5dm533,0.0594,refused,OwnerAlreadyContributed(),38,,0,0,0,0
62,2,PVS 7,pothole_PVS7_frame_000467_0,6g5dm533,0.0596,refused,OwnerAlreadyContributed(),38,,0,0,0,0
63,2,PVS 7,pothole_PVS7_frame_000474_0,6g5dm534,0.061,refused,OwnerAlreadyContributed(),38,,0,0,0,0
64,2,PVS 7,pothole_PVS7_frame_000480_0,6g5dm535,0.0623,refused,OwnerAlreadyContributed(),38,,0,0,0,0
65,2,PVS 7,pothole_PVS7_frame_000506_0,6g5dm581,0.0678,refused,"InsufficientFree(free=2, needed=5)",41,,0,0,0,0
66,0,PVS 1,pothole_PVS1_frame_000385_0,6g5dm4nu,0.0702,refused,OwnerAlreadyContributed(),30,,0,0,0,0
67,1,PVS 4,pothole_PVS4_frame_001034_0,6g5dkxrt,0.0705,refused,OwnerAlreadyContributed(),40,,0,0,0,0
68,1,PVS 4,pothole_PVS4_frame_001041_0,6g5dkxrt,0.072,refused,OwnerAlreadyContributed(),40,,0,0,0,0
69,1,PVS 4,pothole_PVS4_frame_001042_0,6g5dkxrt,0.0722,refused,OwnerAlreadyContributed(),40,,0,0,0,0
70,0,PVS 1,pothole_PVS1_frame_000399_0,6g5dm4nt,0.0728,refused,OwnerAlreadyContributed(),30,,0,0,0,0
71,0,PVS 1,pothole_PVS1_frame_000399_1,6g5dm4nt,0.0728,refused,OwnerAlreadyContributed(),30,,0,0,0,0
72,0,PVS 1,pothole_PVS1_frame_000400_0,6g5dm4nt,0.073,refused,OwnerAlreadyContributed(),30,,0,0,0,0
73,1,PVS 4,pothole_PVS4_frame_001078_0,6g5dkxrm,0.0795,refused,OwnerAlreadyContributed(),40,,0,0,0,0
74,1,PVS 4,pothole_PVS4_frame_001081_0,6g5dkxrq,0.0801,refused,OwnerAlreadyContributed(),40,,0,0,0,0
75,0,PVS 1,pothole_PVS1_frame_000443_0,6g5dm4mg,0.0811,confirm,,36,9370d684679ded4f7c020326ab699c95f85b3867abb87dee488a0726cf38ffdb,1,319452,16554,1.679
76,1,PVS 4,pothole_PVS4_frame_001100_0,6g5dkxrj,0.0839,refused,OwnerAlreadyContributed(),40,,0,0,0,0
77,1,PVS 4,pothole_PVS4_frame_001106_0,6g5dkxrj,0.0852,refused,OwnerAlreadyContributed(),40,,0,0,0,0
78,1,PVS 4,pothole_PVS4_frame_001131_0,6g5dkxrj,0.0902,refused,OwnerAlreadyContributed(),40,,0,0,0,0
79,1,PVS 4,pothole_PVS4_frame_001142_0,6g5dkxqu,0.0925,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
80,0,PVS 1,pothole_PVS1_frame_000509_0,6g5dm4u2,0.0935,confirm,,37,262ccd8e71226dd3cf405402850e2016b1b586631ada897c28ee144b8bcd7eea,1,319464,16555,1.881
81,0,PVS 1,pothole_PVS1_frame_000509_1,6g5dm4u2,0.0935,refused,OwnerAlreadyContributed(),37,,0,0,0,0
82,0,PVS 1,pothole_PVS1_frame_000510_0,6g5dm4u2,0.0937,refused,OwnerAlreadyContributed(),37,,0,0,0,0
83,1,PVS 4,pothole_PVS4_frame_001153_0,6g5dkxqu,0.0947,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
84,1,PVS 4,pothole_PVS4_frame_001154_0,6g5dkxqu,0.0949,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
85,1,PVS 4,pothole_PVS4_frame_001155_0,6g5dkxqu,0.0951,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
86,0,PVS 1,pothole_PVS1_frame_000533_0,6g5dm4gt,0.098,report,,47,92c5b8856bef43f75133c6279370392b2643ef71202ce3b7458f84069679291b,1,251616,16556,1.9
87,0,PVS 1,pothole_PVS1_frame_000537_0,6g5dm4gq,0.0987,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
88,1,PVS 4,pothole_PVS4_frame_001186_0,6g5dkxqk,0.1014,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
89,2,PVS 7,pothole_PVS7_frame_000669_0,6g5dkvng,0.1022,report,,48,544925c0185bc94e8ceb295677a5a4fbca9a307a7e939ff2826c7c304429ca77,1,251628,16557,1.896
90,1,PVS 4,pothole_PVS4_frame_001196_0,6g5dkxqk,0.1035,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
91,1,PVS 4,pothole_PVS4_frame_001198_0,6g5dkxqh,0.1039,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
92,2,PVS 7,pothole_PVS7_frame_000678_0,6g5dkvnr,0.1041,report,,49,9c8e74053a9052b28191ee048e2020d919b11e9842fcde6d151cfcea22bfb8af,1,234516,16558,2.0
93,1,PVS 4,pothole_PVS4_frame_001209_0,6g5dkxq5,0.1061,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
94,1,PVS 4,pothole_PVS4_frame_001209_1,6g5dkxq5,0.1061,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
95,1,PVS 4,pothole_PVS4_frame_001210_0,6g5dkxmg,0.1063,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
96,1,PVS 4,pothole_PVS4_frame_001211_0,6g5dkxmg,0.1065,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
97,1,PVS 4,pothole_PVS4_frame_001211_1,6g5dkxmg,0.1065,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
98,1,PVS 4,pothole_PVS4_frame_001215_0,6g5dkxmg,0.1073,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
99,1,PVS 4,pothole_PVS4_frame_001247_0,6g5dkxm7,0.1138,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
100,2,PVS 7,pothole_PVS7_frame_000724_0,6g5dkvtu,0.1139,refused,"InsufficientFree(free=2, needed=5)",33,,0,0,0,0
101,2,PVS 7,pothole_PVS7_frame_000730_0,6g5dkvty,0.1151,refused,"InsufficientFree(free=2, needed=5)",33,,0,0,0,0
102,2,PVS 7,pothole_PVS7_frame_000730_1,6g5dkvty,0.1151,refused,"InsufficientFree(free=2, needed=5)",33,,0,0,0,0
103,0,PVS 1,pothole_PVS1_frame_000631_0,6g5dm584,0.1164,refused,OwnerAlreadyContributed(),41,,0,0,0,0
104,0,PVS 1,pothole_PVS1_frame_000635_0,6g5dm585,0.1171,refused,OwnerAlreadyContributed(),41,,0,0,0,0
105,0,PVS 1,pothole_PVS1_frame_000652_0,6g5dkgzb,0.1203,refused,OwnerAlreadyContributed(),42,,0,0,0,0
106,0,PVS 1,pothole_PVS1_frame_000655_0,6g5dkgzc,0.1209,refused,OwnerAlreadyContributed(),42,,0,0,0,0
107,0,PVS 1,pothole_PVS1_frame_000663_0,6g5dkgzg,0.1224,refused,OwnerAlreadyContributed(),42,,0,0,0,0
108,0,PVS 1,pothole_PVS1_frame_000664_0,6g5dkgzg,0.1226,refused,OwnerAlreadyContributed(),42,,0,0,0,0
109,0,PVS 1,pothole_PVS1_frame_000665_0,6g5dkgzv,0.1227,refused,OwnerAlreadyContributed(),42,,0,0,0,0
110,0,PVS 1,pothole_PVS1_frame_000666_0,6g5dkgzv,0.1229,refused,OwnerAlreadyContributed(),42,,0,0,0,0
111,0,PVS 1,pothole_PVS1_frame_000668_0,6g5dkgzv,0.1233,refused,OwnerAlreadyContributed(),42,,0,0,0,0
112,1,PVS 4,pothole_PVS4_frame_001298_0,6g5dkxkf,0.1242,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
113,1,PVS 4,pothole_PVS4_frame_001299_0,6g5dkxkf,0.1244,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
114,1,PVS 4,pothole_PVS4_frame_001305_0,6g5dkxk9,0.1256,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
115,1,PVS 4,pothole_PVS4_frame_001306_0,6g5dkxk9,0.1258,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
116,1,PVS 4,pothole_PVS4_frame_001307_0,6g5dkxk9,0.126,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
117,1,PVS 4,pothole_PVS4_frame_001308_0,6g5dkxk9,0.1262,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
118,1,PVS 4,pothole_PVS4_frame_001308_1,6g5dkxk9,0.1262,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
119,1,PVS 4,pothole_PVS4_frame_001308_2,6g5dkxk9,0.1262,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
120,1,PVS 4,pothole_PVS4_frame_001309_0,6g5dkxk9,0.1264,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
121,0,PVS 1,pothole_PVS1_frame_000699_0,6g5dkur8,0.1291,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
122,0,PVS 1,pothole_PVS1_frame_000700_0,6g5dkur8,0.1293,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
123,1,PVS 4,pothole_PVS4_frame_001325_0,6g5dkxk3,0.1297,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
124,1,PVS 4,pothole_PVS4_frame_001349_0,6g5dkxk1,0.1346,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
125,0,PVS 1,pothole_PVS1_frame_000749_0,6g5dkuxr,0.1385,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
126,0,PVS 1,pothole_PVS1_frame_000749_1,6g5dkuxr,0.1385,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
127,0,PVS 1,pothole_PVS1_frame_000750_0,6g5dkuxr,0.1387,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
128,0,PVS 1,pothole_PVS1_frame_000750_1,6g5dkuxr,0.1387,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
129,0,PVS 1,pothole_PVS1_frame_000751_0,6g5dkuxr,0.1389,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
130,0,PVS 1,pothole_PVS1_frame_000751_1,6g5dkuxr,0.1389,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
131,0,PVS 1,pothole_PVS1_frame_000751_2,6g5dkuxr,0.1389,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
132,0,PVS 1,pothole_PVS1_frame_000752_0,6g5dkuz3,0.1391,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
133,0,PVS 1,pothole_PVS1_frame_000752_1,6g5dkuz3,0.1391,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
134,2,PVS 7,pothole_PVS7_frame_000844_0,6g5dkyv5,0.1392,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
135,2,PVS 7,pothole_PVS7_frame_000845_0,6g5dkyv5,0.1394,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
136,0,PVS 1,pothole_PVS1_frame_000754_0,6g5dkuz3,0.1395,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
137,0,PVS 1,pothole_PVS1_frame_000755_0,6g5dkuz3,0.1396,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
138,0,PVS 1,pothole_PVS1_frame_000755_1,6g5dkuz3,0.1396,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
139,0,PVS 1,pothole_PVS1_frame_000756_0,6g5dkuz6,0.1398,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
140,0,PVS 1,pothole_PVS1_frame_000757_0,6g5dkuz6,0.14,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
141,0,PVS 1,pothole_PVS1_frame_000758_0,6g5dkuz6,0.1402,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
142,0,PVS 1,pothole_PVS1_frame_000759_0,6g5dkuz7,0.1404,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
143,0,PVS 1,pothole_PVS1_frame_000759_1,6g5dkuz7,0.1404,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
144,0,PVS 1,pothole_PVS1_frame_000759_2,6g5dkuz7,0.1404,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
145,0,PVS 1,pothole_PVS1_frame_000760_0,6g5dkuz7,0.1406,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
146,0,PVS 1,pothole_PVS1_frame_000760_1,6g5dkuz7,0.1406,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
147,0,PVS 1,pothole_PVS1_frame_000760_2,6g5dkuz7,0.1406,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
148,0,PVS 1,pothole_PVS1_frame_000761_0,6g5dkuz7,0.1408,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
149,0,PVS 1,pothole_PVS1_frame_000799_0,6g5dkvnq,0.1479,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
150,0,PVS 1,pothole_PVS1_frame_000807_0,6g5dkvq0,0.1494,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
151,0,PVS 1,pothole_PVS1_frame_000819_0,6g5dkvmu,0.1517,refused,"InsufficientFree(free=2, needed=5)",31,,0,0,0,0
152,0,PVS 1,pothole_PVS1_frame_000834_0,6g5dkvtc,0.1545,refused,"InsufficientFree(free=2, needed=5)",33,,0,0,0,0
153,0,PVS 1,pothole_PVS1_frame_000844_0,6g5dkvtv,0.1563,refused,"InsufficientFree(free=2, needed=5)",33,,0,0,0,0
154,0,PVS 1,pothole_PVS1_frame_000849_0,6g5dkvtz,0.1573,refused,"InsufficientFree(free=2, needed=5)",33,,0,0,0,0
155,2,PVS 7,pothole_PVS7_frame_000934_0,6g5dkz6k,0.1582,refused,"InsufficientFree(free=2, needed=5)",39,,0,0,0,0
156,0,PVS 1,pothole_PVS1_frame_000861_0,6g5dkvyh,0.1595,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
157,0,PVS 1,pothole_PVS1_frame_000884_0,6g5dkynh,0.1639,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
158,0,PVS 1,pothole_PVS1_frame_000889_0,6g5dkynj,0.1648,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
159,1,PVS 4,pothole_PVS4_frame_001502_0,6g5dkx5f,0.1657,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
160,2,PVS 7,pothole_PVS7_frame_000970_0,6g5dkz3h,0.1658,refused,OwnerAlreadyContributed(),45,,0,0,0,0
161,2,PVS 7,pothole_PVS7_frame_000972_0,6g5dkz3h,0.1662,refused,OwnerAlreadyContributed(),45,,0,0,0,0
162,2,PVS 7,pothole_PVS7_frame_000973_0,6g5dkz3h,0.1665,refused,OwnerAlreadyContributed(),45,,0,0,0,0
163,2,PVS 7,pothole_PVS7_frame_000974_0,6g5dkz3h,0.1667,refused,OwnerAlreadyContributed(),45,,0,0,0,0
164,0,PVS 1,pothole_PVS1_frame_000911_0,6g5dkymt,0.1689,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
165,0,PVS 1,pothole_PVS1_frame_000937_0,6g5dkytq,0.1738,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
166,1,PVS 4,pothole_PVS4_frame_001548_0,6g5dkwgw,0.175,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
167,2,PVS 7,pothole_PVS7_frame_001015_0,6g5dkxrv,0.1753,refused,"InsufficientFree(free=2, needed=5)",40,,0,0,0,0
168,0,PVS 1,pothole_PVS1_frame_000957_0,6g5dkyvj,0.1776,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
169,0,PVS 1,pothole_PVS1_frame_000958_0,6g5dkyvj,0.1777,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
170,1,PVS 4,pothole_PVS4_frame_001563_0,6g5dkwgm,0.178,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
171,0,PVS 1,pothole_PVS1_frame_000965_0,6g5dkyuz,0.1791,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
172,0,PVS 1,pothole_PVS1_frame_000966_0,6g5dkzh8,0.1792,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
173,0,PVS 1,pothole_PVS1_frame_000967_0,6g5dkzh8,0.1794,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
174,0,PVS 1,pothole_PVS1_frame_000982_0,6g5dkzh5,0.1822,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
175,2,PVS 7,pothole_PVS7_frame_001053_0,6g5dkxrm,0.1834,refused,"InsufficientFree(free=2, needed=5)",40,,0,0,0,0
176,2,PVS 7,pothole_PVS7_frame_001057_0,6g5dkxrq,0.1842,refused,"InsufficientFree(free=2, needed=5)",40,,0,0,0,0
177,1,PVS 4,pothole_PVS4_frame_001597_0,6g5dkwgk,0.185,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
178,2,PVS 7,pothole_PVS7_frame_001063_0,6g5dkxrq,0.1855,refused,"InsufficientFree(free=2, needed=5)",40,,0,0,0,0
179,1,PVS 4,pothole_PVS4_frame_001601_0,6g5dkwgk,0.1858,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
180,1,PVS 4,pothole_PVS4_frame_001601_1,6g5dkwgk,0.1858,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
181,0,PVS 1,pothole_PVS1_frame_001004_0,6g5dkz70,0.1864,refused,"InsufficientFree(free=2, needed=5)",,,0,0,0,0
182,1,PVS 4,pothole_PVS4_frame_001604_0,6g5dkwgk,0.1864,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
183,1,PVS 4,pothole_PVS4_frame_001607_0,6g5dkwgk,0.187,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
184,1,PVS 4,pothole_PVS4_frame_001611_0,6g5dkwgk,0.1878,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
185,1,PVS 4,pothole_PVS4_frame_001615_0,6g5dkwgk,0.1886,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
186,0,PVS 1,pothole_PVS1_frame_001032_0,6g5dkz6k,0.1916,refused,"InsufficientFree(free=2, needed=5)",39,,0,0,0,0
187,0,PVS 1,pothole_PVS1_frame_001032_1,6g5dkz6k,0.1916,refused,"InsufficientFree(free=2, needed=5)",39,,0,0,0,0
188,0,PVS 1,pothole_PVS1_frame_001034_0,6g5dkz6h,0.192,refused,"InsufficientFree(free=2, needed=5)",39,,0,0,0,0
189,0,PVS 1,pothole_PVS1_frame_001037_0,6g5dkz6h,0.1926,refused,"InsufficientFree(free=2, needed=5)",39,,0,0,0,0
190,0,PVS 1,pothole_PVS1_frame_001039_0,6g5dkz3u,0.1929,refused,"InsufficientFree(free=2, needed=5)",45,,0,0,0,0
191,1,PVS 4,pothole_PVS4_frame_001637_0,6g5dkwg6,0.1931,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
192,1,PVS 4,pothole_PVS4_frame_001639_0,6g5dkwg6,0.1935,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
